customer_id,age,gender,location,monthly_income,monthly_emi_outflow,current_outstanding,credit_limit,credit_utilization_ratio,num_open_loan,repayment_history_score,dpd_last_3_month,num_hard_inquiry_last_6m,recent_credit_card_usage,recent_loan_disbursed_amount,total_credit_limit,months_since_last_default,target_credit_score_movement
CUST_00000,59,Female,Semi-Urban,111366,41537,143395,821958,0.17445538579830114,1,46,73,3,1974,32253,567056,37,stable
CUST_00001,49,Female,Rural,57387,18003,371602,104891,1.2,6,17,86,2,80586,292716,767028,19,stable
CUST_00002,35,Female,Semi-Urban,210214,137647,292184,495767,0.5893575006000803,2,18,89,4,64456,280277,996082,59,stable
CUST_00003,28,Female,Urban,213646,101220,47466,774749,0.0612662939868267,4,6,15,4,21148,182240,773541,36,stable
CUST_00004,41,Female,Rural,57734,16156,408020,424099,0.9620866825906216,5,22,37,2,81941,407376,458403,14,stable
CUST_00005,59,Male,Rural,226069,111023,383187,486027,0.7884068169052336,2,66,70,1,9191,446402,717528,1,stable
CUST_00006,39,Female,Rural,36342,10166,405410,193425,1.2,2,2,9,2,4223,297526,440939,55,stable
CUST_00007,43,Male,Rural,43924,14755,464244,217629,1.2,4,52,33,4,66417,449792,650388,13,stable
CUST_00008,31,Female,Urban,172897,94756,305695,309298,0.9883510400972525,6,28,7,0,98552,452936,861057,33,stable
CUST_00009,31,Male,Urban,231762,134211,157444,593448,0.26530378398781357,6,96,6,5,93916,255973,774946,2,stable
CUST_00010,44,Male,Semi-Urban,61633,25672,435877,743358,0.5863621565921131,5,86,39,5,40403,314701,640052,15,stable
CUST_00011,56,Male,Rural,188444,53440,120799,431585,0.2798961965777309,7,67,50,1,44293,314703,65459,27,stable
CUST_00012,44,Female,Rural,37326,11413,142244,186807,0.7614489821045249,7,40,66,1,67529,380587,134310,25,stable
CUST_00013,23,Male,Semi-Urban,122775,57680,236743,573399,0.41287654844183547,3,54,43,2,59246,37454,762539,30,stable
CUST_00014,42,Female,Urban,89279,44145,156875,481813,0.3255931243034123,6,58,36,5,7533,53389,308454,6,stable
CUST_00015,22,Female,Rural,91819,58242,281137,316523,0.8882040167697134,2,65,46,5,55358,345478,732573,53,stable
CUST_00016,44,Male,Semi-Urban,120732,40332,420820,571032,0.736946440829936,5,78,2,0,53260,383062,642557,48,stable
CUST_00017,50,Male,Urban,65816,33302,207071,99176,1.2,7,38,32,1,32803,427152,68106,54,stable
CUST_00018,58,Female,Semi-Urban,194985,39255,223569,303894,0.7356808624059705,1,44,20,2,95975,225396,894569,34,stable
CUST_00019,22,Female,Semi-Urban,161577,70386,139804,302834,0.4616522583329481,5,53,12,2,78489,412474,708065,36,stable
CUST_00020,41,Female,Urban,54677,21818,149743,60835,1.2,7,30,47,3,79245,380341,760180,30,stable
CUST_00021,53,Male,Rural,154396,40154,292189,889238,0.32858357380138953,2,12,55,1,73769,481251,193645,40,stable
CUST_00022,32,Female,Urban,219210,141526,200612,213089,0.9414470010183539,4,37,55,5,11984,412118,891637,51,stable
CUST_00023,42,Female,Rural,216762,55063,288971,780770,0.3701102757534229,7,26,14,1,27215,386877,347289,34,stable
CUST_00024,45,Female,Urban,47423,15778,230355,599121,0.3844882753233487,3,35,83,4,90274,422705,77227,14,stable
CUST_00025,47,Female,Rural,268434,152200,55161,520364,0.10600464290381348,1,27,47,4,69787,122780,987380,4,stable
CUST_00026,48,Female,Rural,214223,62203,40153,716331,0.05605369584731081,4,34,56,1,15353,492811,324106,9,stable
CUST_00027,36,Female,Semi-Urban,32057,7641,356541,763038,0.4672650641252467,2,81,42,3,37109,395044,715912,56,increase
CUST_00028,35,Female,Semi-Urban,81397,55730,333855,724909,0.4605474618193456,7,72,7,1,99333,477661,837361,48,stable
